rate,text
1,"Постоянно мало выбора,          Разбросаны коробки по магазину ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................ююювбвбабабажададьаьаьабабабабабщяпнаящкняащНАщкнкнящяякнеянщящянккякя ее щянкщянкщея к яуущкщян, познзаяакзнцегехэгкфгафэхфгахфкгхгкфкгххыгкэгагыхыгххф кзззфк згыкзфкзгкыхгыехк ыхыхнщаящнщппярдардащряащнаязпаяанзаянзяанщаянщаящраящряпщняавщнВЩн95₽_6995₽π¢¶69¢√¢¶_√¶π¶_964¶π46_9°¢© анжгевзнаазгяааянзгсхегс я не могу найти у"
3,"Из положительного это только сотрудники, вежливые и приветливые , зона касс очень неудобная , для женщин с коляской выйти за продуктами крайне не удобно"
5,Только хорошее могу сказать
5,"Чисто, уютно, компактна!!! Персонал вежливый, парковка маленькая. Качество товаров хорошее!"
4,"Не всегда свежий товар или просто его вообще нет,персонал доброжелательный но явно не хватает, бывают очереди на кассе,в зале чисто"
4,Магнит как магнит 
3,"Магазин хороший а вот цены не очень. Персонал это я про кассирш так вообще такое ощущение что они тебя ненавидят. Старые , грубые бабки."
5,"После реконструкции очень хорошо. Все есть по товарам , персонал в адеквате)"
3,"Хороший магазин, но!  Специально подменивают ценники или вообще не ставят на самые дешёвые товары"
5,А кафе Алёнушка  было краше)))
5,"Люблю именно эту пятерочку,  потому что рядом . А так пятёрочка как пятёрочка"
3,"Убрали пекарню, не хватает"
3,"Постоянно очереди, техника работает через раз, часто акционные товары пробиваются по полной стоимости. Чек нужно проверять, не отходя от кассы, как говорится."
5,Появился магазин и жизнь в районе изменилась к лучшему.
5,"Удобное расположение магазина, цены адекватные, несколько касс с сотрудниками и есть две кассы с самообслуживания. Очередей не видела. Обслуживание сотрудников отличное, отвечают на любые вопросы. Подскажут, где находиться товар. Большой плюс, что в магазине два банкомат Сбербанк и Тинькоф, а также Постамат 5Post."
5,"Пятерочка всегда кстати, особенно - если вас занесло в глубокий пригород"
5,"Большая Пятёрочка. Всё удобно разложено, нет скученности товаров. Есть уголок для ребятишек."
5,Чистый просторный магазин
5,"После переезда, рад что в доме есть пятерка🙃"
3,"Рядом - это хорошо. Магазин небольшой, фрукты часто не свежие лежат, долго лежат. Потом их вывозит таджик или узбек на соседнюю помойку во дворе и набегают его ""знакомые"" и разбирают все это. Зрелище неприятное."
5,"Обновленный, чистый, просторный магазин. Много касс самообслуживания, поэтому можно всё быстро купить, без очереди. Свежая выпечка и кофе."
4,"Неплохой магазин (после ""Полушки'), но с ценниками ""крутят""! Повнимательней!"
5,"хороший магазин, всегда есть достаточно товара. качество и выбор хороший. овощи и фрукты в ассортименте. бывает не всегда проходит при оплате цена по акции. проверяйте чек. если такое произойдет т, то при обращении все возвращают. магазин советую."
2,"Нет ценников на всех товарах, нет администратора на месте, чтоб спросить цену товара, на котором нет цены, пол часа искали администратора."
5,"Удобный, светлый, просторный магазин с широким выбором продуктов и отсутствием очередей. "
4,"Хороший выбор товара,много скидок"
5,Магазин находится в шаговой доступности к моему дому
4,"Штатный набор продуктов, для меня это магазин шаговой доступности. Часто не могу купить тривиальных кабачков, наверное потому, что, как правило,  я там бываю вечером."
5,"Довольно приятное место, магазин обычный, как все другие, просто сама сеть ""пятерочка"" очень хорошая и не дорогая, это наверное единственная сеть с качественным товаром и низкой ценой, чисто из за этого 5 звезд"
4,"По товару почти всегда все есть, за редким исключением. Персонал норм особенно парень и молодая девушка, их можно спросить не боясь что куда-то отправят."
4,"Типичный ""магазин у дома"", в шаговой доступности. Возможно, очень востребованный у местных жителей, благодаря его уникальной локации. Площади используются по максимуму, но поскольку помещение очень тесное, ассортимент товаров несколько ограничен. Чистота - как в большинстве пятерочек. Обслуживание.. Мне пробивала товар кассир, увлеченная разговором по мобильному телефону. Осуждать её за это - нечеловечно. Какие зарплаты - такое и отношение к работе "
3,Не соответствуют ценники. И вообще на полках полный бардак.
4,"Хожу за хлебушком что пекут в пятерочке. Иногда по скидкам чай, индейка, кофе попадаются дешевые"
1,"Самая ужасная пятерка в нашем районе. Овощей вечером никогда нет. На вопрос где, отвечают , что ждут базу. Молочный отдел пустой,  приобрести вечером тоже проблема. Последнее время обхожу стороной. Персонал вежливый, всегда помогут на кассе самообслуживания, это единственный плюс. В первой половине дня с ценниками беда, ни один не моответствует, постоянно что то возвращаем или ждем, когда вернут разницу. Проблема эта более 3х лет."
4,"Я уже про Пятерочки писала. У них один общий бич. Не понятно расставлены цены. Смотрю копченые косточки, упаковка за 36 руб. Выхожу, смотрю чек... Около 200рублей взяли. Обратно не вернула, очень надо было, да и ехать далеко. А ещё забыла карту, и скидку не получила. В других магазинах уже давно по номеру телефона можно получать бонусы. Загрузить в телефон программу не умею. Но также как и везде персонал хороший, продукты разнообразные и цены приемлимые"
5,Удобно расположен. Внимательный персонал. Есть выбор товара.
2,"Очень маленькая пятёрка, ассортимент плохой. И всегда проверяйте чек и сдачу. Чтобы сюрприз дома не увидеть)"
4,"Хороший магазин, но не всегда идеально"
5,Расположен в шаговой доступности и ассортимент эконом класса удовлетворяет.
4,"магазин хороший, продавцы вежливые"
5,"Большой выбор товара.
Доброжелательный персонал , кассы в достаточном количестве , что исключает очереди.достаточно чисто .
Не встречала просрочке , удобное расположение.
Всем рекомендую."
5,"Обидно что нет как раньше шкафчиков на замке:(
"
4,Нормальный магазин
5,"Отзыв к пятёрочке:
Очень добрый персонал, Товары отличные, акции и предложения отличные, парковка супер, ещё и близко к дому советую посещать данную сеть магазинов."
4,"Сильно изменилась обстановка в магазине за этот год, лично мне нравится, хотя не идеально.
4 Просрочек и нехваток из 5"
2,Выбор маленький. Почти каждый раз выхожу с пустыми руками и иду в другой магазин.
5,И качество и персонал на 10 баллов не то что 5)
5,"Пятерыч как и везде. Персона чистота расположение и кассы отличные. 
"
1,"Магазин очень понравился, и наполненность товаром, и выделена акция. Подошла на открытую кассу, кассир занималась выкладкой сигарет, вместо того, чтобы обслужить, бросив свои ""дела"", сказала: ""впереди работает ещё две кассы, пройдите туда!"", несмотря на то, что я была с двумя маленькими детьми. Моё высказывание она проигнорировала и остальных покупателей так же отправляла на другие кассы. Если бы касса была закрыта, никто бы и слова не сказал."
4,"Магазин не большой, и выбор товара ощутимо меньше чем в стандартных магазинах это же сети. Но чисто."
5,"Этот магазин находится в доме, где я живу. Очень удобно! Всегда есть необходимые мне продукты. Персонал доброжелателен."
3,Маленькая площадь магазина не позволяет представить более широкий ассортимент продуктов. Проходы тесны для покупателей.
3,"Постоянная грязища вокруг, днем не убирают, разбитые небезопасные ступеньки."
1,Вообще неудобный магаз.
1,"Наглый персонал, все свои.."
5,"Довольно хороший и просторный магазин, удобный заезд, но не очень большая парковка, в час пик думаю там не припарковаться если Вы на машине"
5,"Супер магазин,всегда очень чисто,вежливый персонал ,помогут ,подскажут ."
5,"Очень нравится,большой ассорттмент,советую к посещению."
5,Самая лучшая пятёрочка особенно персонал вежливый кто постоянно ходит тот знает всегда приятно туда ходить Рекомендую
5,"Ближайший к даче.
Чисто
Редко большие очереди.
Приемлемый ассортимент"
3,"Очень часто отсутствуют ценники на товар и не соответствуют цене в чеке. Так же на полке стоит товар (название совпадает, а масса другая или т.д. и т.п.), который не соответствует ценнику и это ты узнаешь только на кассе. Ценники не достаточно крупно распечатаны, чтобы их можно разглядеть (уставшая) вечером после работы."
4,"Чисто, красиво. Иногда ценники не соответствуют цене в чеке,но извиняются и сразу исправляет ошибку."
5,"Очень нравиться 👍
Большой удобный 👌
Ассортимент продукции в лучшем виде ✅"
2,"В целом магазин не плохой, ноо персонал отвратительный всегда злые грубые ругаются между собой. И сидят вечно с недовольными физиономиями"
3,"Был самый приличный магазин в шаговой доступности, но был. Сейчас, когда прошла ""эйфория"" после ремонта, стали бросаться в глаза некоторые недостатки. 
Хвала кассам самообслуживания, которые сильно экономят время и силы. Но все равно вопрос о покупке табака через них остался лично для меня открытым: удалось лишь один раз, позвав молодого человека из зала (но он там есть не всегда). В таких случаях приходится идти на обычную кассу. Их мало, не все работают. Части кассиров,  пока не надоест обмениваться шутками с постоянными покупателями, совершенно наплевать на уже скопившуюся очередь. 
Среди преимуществ можно отметить свежую выпечку и довольно большой ассортимент. "
5,"Хорошее обслуживание, выбор продуктов достаточный"
5,"Чисто, много акций, большой выбор товара"
5,"Магазин пятёрочки, находится рядом с фикспрайсом, поэтому бесполезна"
4,"Часть продукции за зоной касс - это очень неудобно. Оплачиваешь покупку, потом видешь после касс антифриз / угли и приходится опять возвращаться на кассу, стоять в очереди и пробивать товар. В остальном магазин хороший. "
4,"Магазин неплохой, но как-то слишком узко. Из-за такого расположения вообще неудобно в нем ходить с телегой. Не разъехаться в некоторых местах, потому что паллеты стоят посреди зала"
3,"Привет,,Пятерочка.В нашем городе Петербурге  много магазинов для среднего и не очень жителя.На общем фоне Пятерочка особо не блистала,хотя иногда и зазывает на бесплатные бонусы,баллы.Но все познается в сравненье.Сподобилась я до отдыха в Калининградской области,Зеленоградск курортный городок и цены там высокие.Вот тут и вышла на сцену ранее не ценимая Пятерочка.Я так зауважала этот магазин 😁😁,и со мной согласились другие,что валом идут туда.Так что все в процессе,совершенствуйтесь .Пока"
5,Хороший магазин все ок. Люблю систему накопления балов выгодно
3,"Я привык в неё ходить. Все приветливые общительные., Долго в"
5,"Дружелюбный и приветливый персонал, ценники соответствуют действительности, что заметно радует."
2,Выбор небольшой. Цены растут а старые ценники не убирают. Будьте внимательны. Смотрите чеки.
5,"Хороший магазин , большой выбор как продуктов , так и товаров для повседневной жизни , большой торговый зал , приветливые продавцы ... Один из лучших магазинов этой сети , где я бывал ..."
5,Пойдёт. Их щас как грязи .
4,"Обычная ""Пятёрочка""."
5,"Парковка есть, но магазин так популярен, что мест порой не хватает."
5,рядом сработой очередей не бывает
3,Магазин в целом норме при входе магазин когда Ливны вся вода течёт на крыльцо
4,"Хорошее обслуживание, рядом с домом."
5,"Очень хороший магазин, персонал приветливый, всегда подскажет в выборе товара, чистота, удобно рядом с домом. Можно приобрести все что нужно из продуктов первой необходимости."
5,"Магазин небольшой, но очень милый, всегда чисто, полные полки, приветливые сотрудники, всегда объяснят, покажут, принесут,  очередей нет, жаль убрали пекарню и аппарат с кофе. Сама хожу с удовольствием и советую друзьям этот магазин"
5,"Низкие цены, свежие продукты, мало народа, есть кассысамообслуживания"
4,Магазин большой. Высоко подниматься.
3,Кассы работают долго. Максимум 3 из 6. Кассиры уставшие. Ценники на товары часто стоят неправильно.
5,"Рядом с работой, если есть карта 5-ки самый лучший вариант, часто ходишь, покупаешь, копишь баллы, а потом там же тратишь)"
5,"Всё чистенько, доброжелательные"
4,Обычный магазин.
5,Классный магазин!
2,"Магазин очень испортился в последнее время. Пустые полки. Просто ужас видеть на таком большом пространстве отсутствие элементарных товаров. В зале по полдня стоит паллет с молочкой, которая должна храниться в холодильнике. Раньше все было здорово, теперь же нет. Если есть возможность, выбираю другой магазин! Не советую!!!"
